Security,Block,Winner,Future_Return,Event_Type,Avg_Price,Median_Price,Avg_Volume,Median_Volume,Price_Volatility
SCCFF,29,True,17.492445,DROP,1.2834074,0.817799,30.935,0.0,0.40591544
SCCFF,30,True,11.637662,DROP,1.3804494,1.2470989,58.265,0.0,0.33157134
SCCFF,5,False,-31.590616,ACQ,0.3745079,0.336,2.22,0.0,0.3187552
SCCFF,7,False,-8.230785,ACQ,0.7076484,0.779999,12.615,0.0,0.4507434
SCCFF,14,True,231.01477,ACQ,0.745484,0.734399,1.545,0.0,0.09109917
SCCFF,18,False,-6.242859,ACQ,0.9996483,0.849839,0.895,0.0,0.252502
SCCFF,20,False,-64.97948,ACQ,1.5706918,1.311899,6.725,0.0,0.45587936
SCCFF,21,False,-64.597435,ACQ,1.9316571,2.309999,7.345,0.0,0.3238897
SCCFF,28,False,-14.886374,ACQ,1.1083568,0.817799,7.78,0.0,0.47526053
SCCFF,37,False,-18.845741,ACQ,1.417008,1.439999,39.245,0.0,0.03239023
SCCO,9,True,47.176838,DROP,32.19343,33.49254,1056542.19,973895.0,0.13593102
SCCO,10,True,18.559063,DROP,34.73229,34.9204,1012285.005,918771.0,0.079394534
SCCO,13,False,-30.073128,DROP,42.42468,42.054726,925739.965,856812.5,0.1272407
SCCO,15,False,-30.727932,DROP,48.575474,48.781097,1033947.325,975804.5,0.086691074
SCCO,28,True,3.7226007,DROP,52.705467,47.731346,892810.155,851486.0,0.23190585
SCCO,31,False,-17.576794,DROP,67.307365,67.54229,1197874.405,1076456.0,0.08473619
SCCO,8,True,51.94444,ACQ,29.947115,27.149254,1213196.6,1069622.0,0.15295786
SCCO,12,False,-35.53214,ACQ,38.701195,38.915424,874011.08,824652.5,0.09276914
SCCO,14,False,-35.20935,ACQ,46.778008,46.47761,1005659.58,961131.5,0.11901021
SCCO,27,False,-9.001591,ACQ,42.618607,43.835823,875370.875,825205.0,0.2287993
SCCO,30,False,-28.636831,ACQ,65.834274,67.54229,1191334.365,1084596.0,0.11750588
SCDA,19,False,-86.71642,DROP,0.352482,0.3,195.5,0.0,0.75506014
SCDA,31,False,-95.0,DROP,0.0348,0.035,2688.5,0.0,0.4493581
SCDA,18,False,-85.36,ACQ,0.329857,0.3,268.0,0.0,0.7012913
SCDA,29,False,-98.74999,ACQ,0.032798,0.0353,1137.0,0.0,0.5705258
SCDA,30,False,-98.57143,ACQ,0.037264,0.0354,1798.0,0.0,0.4108314
SCDA,37,False,-60.000004,ACQ,0.00047350005,0.0005,378.5,0.0,0.11878692
